metric,value,source,n_rows
english_share_on_clean_all,0.7155,computed from clean_all_languages (mean of is_en),15290
raw_rows,16800,quality_report.csv,
clean_all_rows,15290,quality_report.csv,
english_rate_after_p0,0.7155,quality_report.csv,
clean_en_rows,10940,quality_report.csv,
