token,count
game,9144
fun,2268
love,2241
play,2072
playing,1454
ads,1265
level,1196
time,1153
great,1036
levels,1027
good,1008
now,897
games,744
money,701
ve,652
years,554
new,538
update,482
coins,475
many,439
ad,439
am,439
moves,421
played,407
win,404
nice,395
hard,388
enjoy,372
best,372
without,362
